strain	virus	accession	date	date_submitted	region	country	division	location	passage	originating_lab	submitting_lab	age	gender
A/Tehran/1219/2012	flu	EPI446792	2012-01-28	2016-09-03	west_asia	iran	tehran	tehran	undetermined	?	other_database_import	?	?
A/Helsinki/942/2013	flu	EPI489613	2013-02-27	2016-09-03	europe	finland	uusimaa	helsinki	cell	?	other_database_import	?	?
A/Delhi/1720/2013	flu	EPI527682	2013-02-20	2016-09-03	south_asia	india	delhi	delhi	undetermined	?	other_database_import	?	?
A/Perth/10/2010	flu	EPI276906	2010-05-25	2016-09-03	oceania	australia	western_australia	perth	cell	pathwest_qe_ii_medical_centre	who_collaborating_centre_for_reference_and_research_on_influenza	72y	female
A/Victoria/208/2009	flu	EPI272062	2009-06-02	2016-09-03	oceania	australia	victoria	victoria	cell	victorian_infectious_diseases_reference_laboratory_	who_collaborating_centre_for_reference_and_research_on_influenza	?	?
A/CzechRepublic/119/2012	flu	EPI398605	2012-02-28	2016-09-03	europe	czech_republic	czech_republic	czech_republic	cell	?	other_database_import	?	?
A/Brisbane/10/2007	flu	EPI545338	2007-XX-XX	2016-09-03	oceania	australia	queensland	brisbane	cell	queensland_health_scientific_services	other_database_import	1y	female
A/RhodeIsland/1/2010	flu	EPI270360	2010-01-26	2016-09-03	north_america	usa	rhode_island	rhode_island	unpassaged	rhode_island_department_of_health	centers_for_disease_control_and_prevention	93y	male
A/Perth/16/2009	flu	EPI182941	2009-04-07	2016-09-03	oceania	australia	western_australia	perth	cell	pathwest_qe_ii_medical_centre	who_collaborating_centre_for_reference_and_research_on_influenza	6y	male
A/Hyogo/10K034/2011	flu	EPI340514	2011-01-17	2016-09-03	japan_korea	japan	hyogo	hyogo	undetermined	?	other_database_import	?	?
A/Victoria/210/2009	flu	EPI269899	2009-06-02	2016-09-03	oceania	australia	victoria	victoria	cell	victorian_infectious_diseases_reference_laboratory_	who_collaborating_centre_for_reference_and_research_on_influenza	?	?
A/Peru/PER272/2010	flu	EPI496744	2010-10-16	2016-09-03	south_america	peru	peru	peru	undetermined	?	other_database_import	17y	female
A/SaudiArabia/6/2014	flu	EPI966136	2014-10-02	2017-12-14	west_asia	saudi_arabia	saudi_arabia	saudi_arabia	undetermined	?	other_database_import	?	?
A/Alabama/5/2010	flu	EPI287084	2010-07-13	2016-09-03	north_america	usa	alabama	alabama	cell	u.s._air_force_school_of_aerospace_medicine	national_institute_for_medical_research	?	?
A/Wisconsin/67/2005	flu	EPI367110	2005-XX-XX	2016-09-03	north_america	usa	wisconsin	wisconsin	cell	?	other_database_import	?	?
