strain	virus	accession	date	date_submitted	region	country	division	location	passage	originating_lab	submitting_lab	age	gender
A/Peru/PER272/2010	flu	EPI496750	2010-10-16	2016-09-03	south_america	peru	peru	peru	undetermined	?	other_database_import	17y	female
A/Tehran/1219/2012	flu	EPI446793	2012-01-28	2016-09-03	west_asia	iran	tehran	tehran	undetermined	?	other_database_import	?	?
A/Perth/16/2009	flu	EPI182942	2009-04-07	2016-09-03	oceania	australia	western_australia	perth	cell	pathwest_qe_ii_medical_centre	who_collaborating_centre_for_reference_and_research_on_influenza	6y	male
A/CzechRepublic/119/2012	flu	EPI398607	2012-02-28	2016-09-03	europe	czech_republic	czech_republic	czech_republic	cell	?	other_database_import	?	?
A/Brisbane/10/2007	flu	EPI385929	2007-XX-XX	2016-09-03	oceania	australia	queensland	brisbane	undetermined	queensland_health_scientific_services	other_database_import	1y	female
A/Delhi/1720/2013	flu	EPI527734	2013-02-20	2016-09-03	south_asia	india	delhi	delhi	undetermined	?	other_database_import	?	?
A/Hyogo/10K034/2011	flu	EPI340629	2011-01-17	2016-09-03	japan_korea	japan	hyogo	hyogo	undetermined	?	other_database_import	?	?
A/Helsinki/942/2013	flu	EPI489611	2013-02-27	2016-09-03	europe	finland	uusimaa	helsinki	cell	?	other_database_import	?	?
A/SaudiArabia/6/2014	flu	EPI966185	2014-10-02	2017-12-14	west_asia	saudi_arabia	saudi_arabia	saudi_arabia	undetermined	?	other_database_import	?	?
A/Wisconsin/67/2005	flu	EPI367112	2005-XX-XX	2016-09-03	north_america	usa	wisconsin	wisconsin	cell	?	other_database_import	?	?
